_id,stadium_name,address,lat,lon,url,distance
83,北上総合運動公園,岩手県北上市相去町高前檀27-36番地,39.2588339,141.092891,http://www.iwate2016.jp/kokutai_game/petanque#545,
84,一関市総合体育館,岩手県一関市狐禅寺字石ノ瀬25−3番地,38.9408488,141.1556004,http://www.iwate2016.jp/kokutai_game/sports_blowguns#570,
85,陸前高田市高田町特設会場,岩手県陸前高田市高田町字太田,39.0214619,141.6419961,http://www.iwate2016.jp/kokutai_game/beach_volleyball#574,
86,安比高原特設会場,岩手県八幡平市安比高原117-1,40.0017513,140.9699967,http://www.iwate2016.jp/kokutai_game/orienteering#608,
87,滝沢総合公園体育館,岩手県滝沢市鵜飼御庭田1番地,39.7322227,141.0701205,http://www.iwate2016.jp/kokutai_game/dance_sport#654,
88,雫石町営体育館,岩手県岩手郡雫石町高前田104,39.7006148,140.963063,http://www.iwate2016.jp/kokutai_game/3b_gymnastics#630,
89,葛巻町社会体育館,岩手県岩手郡葛巻町葛巻8地割33番地,40.0378272,141.4487117,http://www.iwate2016.jp/kokutai_game/neo_hockey#636,
90,岩手町ホッケー場,岩手県岩手郡岩手町五日市第10地割,39.9739983,141.2202207,http://www.iwate2016.jp/kokutai_game/boys_and_girls_hockey#639,
91,矢巾町民総合体育館,岩手県紫波郡矢巾町南矢幅第13地割118,39.6062418,141.1440275,http://www.iwate2016.jp/kokutai_game/sports_chanbara#660,
92,矢巾町屋外運動場,岩手県紫波郡矢巾町南矢幅第5地割175番地,39.6082277,141.1434747,http://www.iwate2016.jp/kokutai_game/radio_gymnastics#663,
93,湯田農業者トレーニングセンター,岩手県和賀郡西和賀町湯本30地割58-1番地,39.342418,140.771372,http://www.iwate2016.jp/kokutai/kokutai_game_list,
94,平泉町立長島体育館,岩手県西磐井郡平泉町長島砂子沢167−2番地,38.9965912,141.1440885,http://www.iwate2016.jp/kokutai_game/indiaka#677,
95,住田町運動公園ふれあい広場,岩手県気仙郡住田町世田米字川向,39.1393746,141.5753474,http://www.iwate2016.jp/kokutai/kokutai_game_list,
96,大槌町城山公園体育館,岩手県上閉伊郡大槌町小鎚第32地割126番地,39.3593976,141.9017436,http://www.iwate2016.jp/kokutai_game/soft_volleyball#683,
97,田野畑村マレットゴルフ場,岩手県下閉伊郡田野畑村明戸158番地,39.9472687,141.9351689,http://www.iwate2016.jp/kokutai_game/mallet_golf#691,
98,村内特設会場,岩手県九戸郡野田村大字野田,40.1120131,141.8177932,http://www.iwate2016.jp/kokutai_game/walk_rally#704,
99,種市海浜公園,岩手県九戸郡洋野町種市18-105番地,40.4014878,141.719981,http://www.iwate2016.jp/kokutai_game/surfing#712,
100,洋野町大野パークゴルフ場,岩手県九戸郡洋野町大野66-8-3番地,40.2862999,141.6628907,http://www.iwate2016.jp/kokutai_game/park_golf#715,
101,一戸町ターゲット・バードゴルフ場,岩手県二戸郡一戸町一戸字砂森12,40.2048203,141.3008048,http://www.iwate2016.jp/kokutai_game/target-bird_golf#721,
,,,39.701317,141.1338323,,
